[2025-09-15T07:32:50.651Z] XAU/USD: 3637475000000000000000 | USD/VND: 26380000000000000000000 | Tx: 0x9f46143ab79685c7f61c88f5de8826e8a75dca3f30d17345318b3d37c4131a86
[2025-09-15T07:37:48.456Z] XAU/USD: 3640709999985000000000 | USD/VND: 26380000000000000000000 | Tx: 0x0e0dec550313e0a98b9c89a6d1cd50ea893edaadcccfc024f890ebd0030ad119
[2025-09-15T07:42:48.690Z] XAU/USD: 3641945000000000000000 | USD/VND: 26380000000000000000000 | Tx: 0x6cb705128986ed2c2204892839e3aa9ab50f49c8503c5c0e57406a8394a2cbe9
[2025-09-15T07:47:48.650Z] XAU/USD: 3641260000095000000000 | USD/VND: 26380000000000000000000 | Tx: 0x47fd71fc41afaa514a6a21beb2a1ad2528d0dd1e1d801710af0f49b924695b0a
[2025-09-15T07:52:49.713Z] XAU/USD: 3642820000000000000000 | USD/VND: 26380000000000000000000 | Tx: 0xeb51cb0005d15455c45da7939be78cd15cff5a760d858f3311c23ca49d2ca849
[2025-09-15T07:57:48.551Z] XAU/USD: 3643894650000000000000 | USD/VND: 26380000000000000000000 | Tx: 0x615a4480af540fd2d873e9ebdb009d8b7d398273de62df443dec438d3187eea2
[2025-09-15T08:02:48.627Z] XAU/USD: 3644793800000000000000 | USD/VND: 26380000000000000000000 | Tx: 0x69312aaa39a98f4ae9e2317a4e5dc31d9b33d8947226d0e6fa69bd157b875526
[2025-09-15T08:07:48.363Z] XAU/USD: 3644395600000000000000 | USD/VND: 26380000000000000000000 | Tx: 0x05d1788d2cfbe40fce44cdf51558aa5d317af9f47fb44063f2a63f2e935dcb4d
[2025-09-15T08:12:51.243Z] XAU/USD: 3641815000000000000000 | USD/VND: 26380000000000000000000 | Tx: 0xb9aa6e0bfe062ad09af20d43404f612813236673881f84238b6055144e975852
[2025-09-15T08:17:48.401Z] XAU/USD: 3641940000045000000000 | USD/VND: 26380000000000000000000 | Tx: 0x4fa13291fff11c40bc346e8131f6288a15f04d1beb9dcc0d7fdd6b30d2323100
[2025-09-15T08:22:48.476Z] XAU/USD: 3642480000020000000000 | USD/VND: 26380000000000000000000 | Tx: 0x3ca536e5ace078645ea7e4fd55462a756a9ecea8e7639948a76eb1b09836fa74
[2025-09-15T08:27:48.535Z] XAU/USD: 3641890000000000000000 | USD/VND: 26380000000000000000000 | Tx: 0x7139f01db6d1a3e91e322fb6864f360495689ffe290bfb449b8c5e4641935459
[2025-09-15T08:32:48.673Z] XAU/USD: 3642609999915000000000 | USD/VND: 26380000000000000000000 | Tx: 0xf17253cf066aa512747407c906c2629b64dc6e5daed7ae1ef933362e3b7b5a8e
[2025-09-15T08:37:48.634Z] XAU/USD: 3642070000000000250000 | USD/VND: 26380000000000000000000 | Tx: 0x1c4c775dc53b7c4174b976ba421e56160ff21d1673fd26f57c6ae37311843611
[2025-09-15T08:42:49.969Z] XAU/USD: 3642250000015000000000 | USD/VND: 26380000000000000000000 | Tx: 0xfb05cd76f90a93604c74f5f387f2c9b99eb952b8aebbbd2f2f518ee2f0bf247c
[2025-09-15T08:47:49.390Z] XAU/USD: 3641640000000000000000 | USD/VND: 26380000000000000000000 | Tx: 0xdbd6586b8fc0ab11f6771f75847dcf9eb194b1a61d2f6120ca3f628ac69e295d
[2025-09-15T08:52:48.903Z] XAU/USD: 3641089999985000000000 | USD/VND: 26380000000000000000000 | Tx: 0xfb90c12fdfb8a2cc62e62b8e4385b1a3a5e3add0619586929663572ec36d0dbc
[2025-09-15T08:57:48.586Z] XAU/USD: 3645109999985000000000 | USD/VND: 26380000000000000000000 | Tx: 0x9b001330c04ed8e628cac46f3c1dbf9bf7f74d1b03ee241ac5704f9efa680811
[2025-09-15T09:02:48.753Z] XAU/USD: 3645299999970000000000 | USD/VND: 26379250000000000000000 | Tx: 0xbc519da618266e528aa3a606bcc4014957a13dcb622c6da2ef8106acdd0d4e6e
[2025-09-15T09:07:50.189Z] XAU/USD: 3644725000017500350000 | USD/VND: 26379250000000000000000 | Tx: 0x835a542c87385d4fe8452850e10d2e30bbab37c4a1b570123ba021f0982e3048
[2025-09-15T09:12:48.671Z] XAU/USD: 3643350200000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x2a0760c0689fc026878bf9b6b6b43823899c7cbe89f15253825ad98f43b0e02e
[2025-09-15T09:17:48.473Z] XAU/USD: 3644809999985000000000 | USD/VND: 26379250000000000000000 | Tx: 0x83ef1e0fa3027d9f37bbd076f0147365516cfcc93ed80358d2410baec5f0ab43
[2025-09-15T09:22:48.421Z] XAU/USD: 3641354999962500150000 | USD/VND: 26379250000000000000000 | Tx: 0xbdaf3aee86d193e238c4507b6a883690a460425bef92097a475689cd7a04b85f
[2025-09-15T09:27:49.544Z] XAU/USD: 3639949999880000000000 | USD/VND: 26379250000000000000000 | Tx: 0x94290b69f907b8606c9a73148b7cbdc27121e0eba1695fb1f5637abdbbbe8332
[2025-09-15T09:32:48.560Z] XAU/USD: 3639199999997500000000 | USD/VND: 26379250000000000000000 | Tx: 0x787e2e33edca37a34cb2ede8a3844f7e199a9140da916857f107807534c39126
[2025-09-15T09:37:48.478Z] XAU/USD: 3638150000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x9cade84ae33807fd94853b70d191dcc3e8922ffa1e3e577eabbca5908ad5b03f
[2025-09-15T09:42:48.621Z] XAU/USD: 3637260000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x319325cf92ea6b0fb0f597b3926576eaa22e2bcf2fbdb879df9e15d2accbff1c
[2025-09-15T09:47:48.523Z] XAU/USD: 3637654999935000500000 | USD/VND: 26379250000000000000000 | Tx: 0x7f318aee0cb7d786de212c35fa28395e13245f043c6b0f0197a572569b2a6d32
[2025-09-15T09:52:49.798Z] XAU/USD: 3638475000015000000000 | USD/VND: 26379250000000000000000 | Tx: 0x8709a91e1c4daaead11b7cdc4e77e9ba8261a971ae10a14f9ad6e64fa3fb6e52
[2025-09-15T09:57:48.488Z] XAU/USD: 3640803400000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x693d906a52b2a667b239a7131da2dd4a7140380dae7e020332dd204ecffdd20d
[2025-09-15T10:02:48.631Z] XAU/USD: 3643340000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0xa3567b8656c9c1d90c695f4d6f403166804ee707da27b47092b1a27f11680138
[2025-09-15T10:07:49.380Z] XAU/USD: 3643420000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x170559641942891af4db493dc7dc579932501446b107dbc41c85dc8e7e4b334e
[2025-09-15T10:12:49.764Z] XAU/USD: 3643610000179999600000 | USD/VND: 26379250000000000000000 | Tx: 0xf568c33ee9fb6786ca70c9c83b97a67ae13946e04a95d880b0e7cfd951e42966
[2025-09-15T10:17:56.750Z] XAU/USD: 3645520000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x8bd624abd849a79dc8858b90739b368fd28924bd8943daa27852ef06dd7e09c5
[2025-09-15T10:22:55.869Z] XAU/USD: 3644990000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x86d1ddd00cb66666166efcf27e9673fd62f68ed9ec204236a00b58e4b9b6a17c
[2025-09-15T10:27:56.479Z] XAU/USD: 3644944999982500200000 | USD/VND: 26379250000000000000000 | Tx: 0x71f06c214ec57538ad5c284f4404491206c11be80bb2a3a749f260179a766e79
[2025-09-15T10:32:55.632Z] XAU/USD: 3645515000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x47c9942a230fa18428232a632e17fd164e55acba991c9fcbd150dfa045881f76
[2025-09-15T10:37:55.541Z] XAU/USD: 3644172100000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x84b47b52c54d216af6de83ebff896a2c8d32c333a83d8025b0ce07eec0418062
[2025-09-15T10:42:56.491Z] XAU/USD: 3642414999937499950000 | USD/VND: 26379250000000000000000 | Tx: 0x93ed4faed256092f592d602e94fe0ccf387166ab8b454e087777941269df0d57
